x1,x2,x3,x4,x5,x6
0,1.0e6,0,0,0,0
0,1,1,2,3,4
0,1,2,12,26,18
0.0,896,9042,9241,170962,17042
0.25,864,8609,8862,164941,16485
0.5,857,8307,8470,161985,16381
0.75,796,8013,8163,161656,16091
1.0,749,7874,7984,159913,16343
1.25,688,7459,7594,159459,15929
1.5,669,7196,7272,158229,15919
1.75,698,6935,7064,157955,15962
2.0,680,6601,6843,157423,15750
2.25,661,6427,6519,156602,15492
2.5,638,6157,6300,155865,15889
2.75,616,5984,6176,155248,15560
3.0,543,5727,5925,154231,15602
3.25,564,5539,5680,153122,15384
3.5,498,5234,5636,153380,15362
3.75,521,5236,5287,152592,15170
4.0,435,4934,5213,150571,15052
4.25,502,4838,5067,150978,15366
4.5,488,4722,4932,150070,15130
4.75,479,4354,4701,148810,15034
5.0,425,4333,4559,148936,14920
5.25,459,4090,4473,148110,14886
5.5,426,3992,4380,146992,14898
5.75,374,3810,4237,146564,14867
6.0,349,3757,4019,145777,14898
6.25,341,3611,3946,145677,14678
6.5,337,3299,3840,145125,14746
6.75,325,3392,3748,143984,14321
7.0,317,3166,3523,143215,14170
7.25,317,3131,3420,142930,14135
7.5,305,2947,3334,141663,13987
7.75,312,2910,3179,141054,14049
8.0,278,2782,3155,140103,14115
8.25,246,2808,2931,139974,13958
8.5,247,2499,2972,139592,13959
8.75,269,2578,2934,138177,13934
9.0,223,2384,2751,137447,13986
9.25,208,2330,2725,136388,13634
9.5,209,2217,2649,137057,13721
9.75,193,2204,2610,136034,13694
10.0,202,2104,2497,134818,13533
10.25,166,1948,2430,134516,13534
10.5,202,1935,2421,133817,13239
10.75,183,1818,2274,132879,13338
11.0,170,1809,2292,132941,13433
11.25,157,1783,2136,132441,13223
11.5,172,1635,2095,131605,13239
11.75,159,1608,1975,131471,13159
12.0,130,1533,1987,130434,13219
12.25,147,1497,1935,129587,13147
12.5,141,1497,1878,129979,12922
12.75,140,1438,1868,129024,12944
13.0,125,1363,1777,127586,12887
13.25,138,1363,1653,127593,12864
13.5,114,1327,1676,127041,12676
13.75,145,1184,1623,126878,12542
14.0,139,1184,1582,125349,12632
14.25,96,1132,1421,124865,12329
14.5,131,1135,1486,124395,12380
14.75,110,1105,1460,123768,12395
15.0,108,1012,1422,123397,12345
15.25,89,1043,1379,123165,12305
15.5,82,977,1399,122824,12034
15.75,106,950,1334,121591,12331
16.0,89,912,1300,120734,12349
16.25,70,863,1210,120453,12155
16.5,82,804,1203,119662,11940
16.75,74,782,1184,119614,12072
17.0,87,783,1214,119102,11845
17.25,72,774,1098,119444,11810
17.5,82,717,1153,118213,11690
17.75,78,733,1072,117261,11723
18.0,68,615,993,117027,11637
18.25,60,664,1012,116649,11705
18.5,49,667,1006,115591,11486
18.75,52,663,951,115934,11447
19.0,61,594,981,114529,11393
19.25,56,619,870,114307,11435
19.5,55,535,900,114068,11574
19.75,50,529,848,113730,11328
20.0,69,528,845,112528,11268
20.25,56,550,799,112200,11091
20.5,51,492,790,111700,11098
20.75,48,469,730,111351,11022
21.0,33,490,778,110420,11130
21.25,39,483,744,110356,11011
21.5,34,436,695,109615,11037
21.75,39,396,738,109503,11083
22.0,35,403,678,109279,11120
22.25,34,387,635,108324,10923
22.5,33,404,690,107812,10994
22.75,46,360,685,107325,10885
23.0,29,384,641,107888,10909
23.25,30,341,613,107165,10511
23.5,34,287,576,106438,10457
23.75,31,296,597,105634,10687
24.0,20,302,586,105204,10579
24.25,36,308,534,104600,10642
24.5,26,296,517,104289,10512
24.75,33,298,578,103839,10304
25.0,16,290,511,103591,10315
25.25,20,262,531,103030,10318
25.5,30,263,496,102675,10233
25.75,25,246,520,102058,10259
26.0,15,253,478,101281,10095
26.25,36,228,479,101247,10167
26.5,25,238,446,100591,10475
26.75,22,229,449,100808,10334
27.0,22,198,413,99938,9989
27.25,14,216,413,99201,9806
27.5,18,223,419,98652,9880
27.75,16,214,390,98961,9942
28.0,18,197,367,98495,9693
28.25,19,204,374,97783,9646
28.5,20,190,369,97452,9679
28.75,20,182,339,96948,9626
29.0,18,188,344,96843,9680
29.25,20,182,329,96035,9551
29.5,15,156,358,95822,9478
29.75,14,169,320,95330,9380
30.0,15,145,317,94911,9604
30.25,12,167,287,94581,9310
30.5,23,183,315,94512,9507
30.75,19,143,317,93642,9314
31.0,22,127,312,93312,9276
31.25,18,158,276,92325,9304
31.5,17,124,299,92780,9116
31.75,13,132,284,92556,9222
32.0,17,141,268,91993,9187
32.25,16,146,305,91217,9012
32.5,9,126,266,90851,8996
32.75,19,138,263,90762,8955
33.0,18,114,241,90403,9239
33.25,6,108,288,89795,8904
33.5,10,115,273,89234,9161
33.75,15,106,235,89132,8927
34.0,13,108,249,88595,8904
34.25,13,115,251,88579,8822
34.5,15,116,233,88016,8720
34.75,8,104,223,87713,8760
35.0,12,105,199,87399,8718
35.25,9,94,213,86816,8683
35.5,6,120,215,86787,8500
35.75,9,94,224,86254,8567
36.0,18,93,212,85767,8635
36.25,17,107,181,85677,8551
36.5,9,94,172,85180,8512
36.75,9,101,159,85111,8553
37.0,4,99,175,84465,8338
37.25,8,97,173,84444,8652
37.5,8,94,192,83797,8435
37.75,11,94,201,83907,8494
38.0,10,82,181,83500,8403
38.25,5,77,204,82898,8372
38.5,7,81,190,82155,8159
38.75,10,84,166,82453,8265
39.0,6,86,159,81761,8037
39.25,12,64,155,82091,8018
39.5,4,104,158,81094,8086
39.75,8,76,182,80991,8250
40.0,5,84,141,80540,7920
40.25,4,65,130,80359,8036
40.5,11,84,175,79844,7992
40.75,5,84,156,79350,8124
41.0,12,79,142,79426,8005
41.25,7,81,159,78805,7826
41.5,7,63,148,78616,7910
41.75,10,68,136,78528,7749
42.0,8,68,135,78209,7763
42.25,3,59,142,77506,7718
42.5,7,71,114,77224,7758
42.75,8,65,157,76284,7752
43.0,7,66,127,76508,7593
43.25,7,87,140,76028,7789
43.5,5,54,117,76079,7699
43.75,3,71,152,76025,7515
44.0,11,72,123,75489,7555
44.25,8,70,124,74790,7508
44.5,10,73,119,75137,7424
44.75,8,60,138,74600,7394
45.0,3,63,138,74176,7520
45.25,7,62,134,73910,7447
45.5,7,67,126,73759,7514
45.75,3,66,121,73479,7590
46.0,7,73,109,72763,7318
46.25,7,60,127,73108,7312
46.5,5,59,107,72384,7370
46.75,4,62,91,72002,7221
47.0,10,50,109,72206,7159
47.25,7,50,109,72123,7050
47.5,2,58,100,71466,7167
47.75,3,54,102,70966,7194
48.0,8,47,93,70463,6996
48.25,4,59,88,70319,7168
48.5,6,64,111,70488,7089
48.75,6,51,92,70352,7176
49.0,5,55,111,69798,7069
49.25,6,57,105,69375,7170
49.5,4,45,94,68859,6912
49.75,5,53,104,68985,6829
50.0,9,57,113,68938,6769
50.25,6,52,101,68337,6738
50.5,8,52,90,68200,6822
50.75,3,44,97,67973,6722
51.0,5,40,84,67948,6685
51.25,7,66,89,67515,6677
51.5,5,49,92,67387,6741
51.75,5,50,85,66509,6659
52.0,4,43,85,66949,6696
52.25,6,49,92,65882,6607
52.5,7,50,98,66598,6732
52.75,6,53,84,66070,6588
53.0,8,56,92,65694,6519
53.25,6,34,89,65112,6478
53.5,10,53,82,64851,6617
53.75,4,48,102,65029,6498
54.0,3,60,79,64240,6534
54.25,5,40,92,64362,6453
54.5,5,35,81,63658,6451
54.75,5,50,71,64008,6342
55.0,7,47,81,63494,6234
55.25,5,48,84,63499,6400
55.5,10,42,86,62844,6337
55.75,4,59,81,62698,6162
56.0,4,57,92,62298,6326
56.25,3,51,79,62097,6205
56.5,2,41,81,62417,6294
56.75,5,36,86,61890,6206
57.0,0,38,85,61240,6167
57.25,8,48,75,61232,6158
57.5,3,56,94,60979,6151
57.75,3,42,86,60788,6129
58.0,3,58,81,61209,6049
58.25,1,50,82,60703,6085
58.5,7,56,60,60038,6240
58.75,4,40,78,60097,5930
59.0,4,59,88,59457,5965
59.25,3,51,90,59482,5958
59.5,6,42,83,59685,6017
59.75,4,46,77,59201,5892
60.0,6,48,78,59363,5927
60.25,7,43,80,58465,5866
60.5,2,50,90,58390,5788
60.75,5,45,65,58254,5741
61.0,10,36,77,58124,5796
61.25,11,48,80,57301,5806
61.5,3,51,78,57669,5814
61.75,6,58,79,57394,5602
62.0,3,58,69,57082,5734
62.25,4,36,68,56609,5838
62.5,2,45,73,56545,5782
62.75,4,49,74,56855,5683
63.0,4,49,79,56472,5688
63.25,6,44,68,56028,5703
63.5,2,36,66,55972,5583
63.75,9,49,72,55780,5575
64.0,6,39,85,55469,5551
64.25,2,51,68,55696,5516
64.5,3,39,69,54920,5526
64.75,4,42,71,54648,5490
65.0,8,54,83,54584,5444
65.25,4,49,82,54408,5308
65.5,1,45,72,54686,5463
65.75,3,56,66,54160,5347
66.0,10,39,83,54368,5392
66.25,4,49,59,53514,5266
66.5,3,47,65,53283,5403
66.75,8,37,64,53334,5363
67.0,7,40,84,53204,5417
67.25,7,36,83,52662,5300
67.5,6,39,76,52869,5278
67.75,7,37,71,52310,5125
68.0,5,50,55,52149,5381
68.25,7,42,67,52357,5185
68.5,8,37,67,51427,5271
68.75,7,43,58,51900,5123
69.0,4,38,66,51665,5209
69.25,6,38,59,51509,5219
69.5,5,41,77,51306,5115
69.75,7,46,69,50753,5058
70.0,6,49,55,50679,5075
70.25,4,41,64,50646,5065
70.5,7,46,52,50496,5066
70.75,7,47,64,50206,5157
71.0,4,25,62,50205,5078
71.25,3,38,66,49902,4932
71.5,1,48,67,49204,4994
71.75,2,43,63,49871,4937
72.0,4,42,73,49305,5019
72.25,2,42,75,49349,4908
72.5,8,39,68,48836,4871
72.75,5,30,62,49203,4947
73.0,4,32,81,48613,4928
73.25,4,36,73,48513,4860
73.5,5,55,64,48225,4868
73.75,3,34,65,47777,4825
74.0,5,43,58,48022,4711
74.25,3,53,74,47897,4711
74.5,4,50,64,47352,4742
74.75,6,32,50,47467,4808
75.0,4,42,41,47193,4808
75.25,3,47,67,46755,4856
75.5,3,48,75,47071,4690
75.75,6,50,71,46994,4686
76.0,1,50,69,46226,4639
76.25,4,40,65,46110,4649
76.5,2,46,53,46089,4676
76.75,4,39,56,46654,4733
77.0,6,51,58,46070,4612
77.25,5,33,64,45279,4713
77.5,5,33,58,45189,4455
77.75,3,37,56,45744,4675
78.0,4,40,60,45473,4544
78.25,5,34,66,45230,4556
78.5,3,51,64,44699,4567
78.75,5,41,62,44390,4578
79.0,3,37,67,44763,4490
79.25,6,51,55,44406,4407
79.5,6,40,61,44420,4505
79.75,8,39,51,43822,4370
80.0,1,40,55,44228,4376
80.25,9,31,56,43502,4384
80.5,2,46,66,43985,4345
80.75,7,36,64,43587,4435
81.0,10,44,49,42973,4322
81.25,4,32,69,43119,4340
81.5,8,44,57,43293,4208
81.75,4,61,72,42763,4334
82.0,2,48,74,42824,4341
82.25,0,38,52,42598,4334
82.5,4,47,78,42132,4282
82.75,1,46,46,42420,4207
83.0,7,33,66,42149,4268
83.25,4,29,60,42031,4390
83.5,3,39,66,41794,4231
83.75,3,48,48,41800,4163
84.0,6,40,56,41461,4180
84.25,5,40,68,41486,4071
84.5,3,43,62,41162,4158
84.75,5,43,49,41065,4120
85.0,4,31,52,40848,4145
85.25,6,43,62,40775,3986
85.5,8,38,65,40378,4061
85.75,5,33,64,40362,4107
86.0,5,51,62,40275,4096
86.25,5,43,60,40018,3926
86.5,7,26,51,40277,4006
86.75,3,28,57,39764,4065
87.0,3,36,67,40081,4030
87.25,3,42,61,39631,3980
87.5,6,34,55,39464,3976
87.75,8,41,61,39300,3921
88.0,4,38,53,39132,4017
88.25,6,41,73,39284,3965
88.5,5,30,55,39056,3896
88.75,7,29,44,38905,3865
89.0,4,32,53,38644,3899
89.25,5,32,57,38697,3803
89.5,4,29,53,38313,3812
89.75,6,28,70,38291,3892
90.0,2,44,45,38009,3872
90.25,4,39,53,38535,3896
90.5,9,30,52,38028,3877
90.75,6,25,55,37689,3839
91.0,5,28,53,37813,3758
91.25,4,44,54,37517,3782
91.5,4,32,45,37481,3704
91.75,6,51,56,36991,3790
92.0,8,35,81,37249,3695
92.25,5,40,58,37146,3732
92.5,1,33,53,37045,3703
